,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Non Current Prepaid Assets,185635000.0,141062000.0,137860000.0,91260000.0
Non Current Deferred Assets,133407000.0,126234000.0,136411000.0,78680000.0
Non Current Deferred Taxes Assets,133407000.0,126234000.0,136411000.0,78680000.0
Non Current Accounts Receivable,657711000.0,300168000.0,137218000.0,70114000.0
Goodwill And Other Intangible Assets,94852000.0,99081000.0,42939000.0,45568000.0
Other Intangible Assets,66379000.0,70435000.0,28477000.0,31106000.0
Goodwill,28473000.0,28646000.0,14462000.0,14462000.0
Net PPE,4154369000.0,4109925000.0,3949886000.0,3636329000.0
Accumulated Depreciation,-1684451000.0,-1605434000.0,-1528791000.0,-1468123000.0
Gross PPE,5838820000.0,5715359000.0,5478677000.0,5104452000.0
Leases,40064000.0,40080000.0,40077000.0,146467000.0
Construction In Progress,964135000.0,1115767000.0,1343541000.0,1121938000.0
Other Properties,81512000.0,89747000.0,91282000.0,104778000.0
Machinery Furniture Equipment,3719353000.0,3413461000.0,2958820000.0,2802961000.0
Buildings And Improvements,998516000.0,1020969000.0,1009652000.0,893049000.0
Land And Improvements,35240000.0,35335000.0,35305000.0,35259000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,3824002000.0,3660730000.0,3619864000.0,3791421000.0
Other Current Assets,46483000.0,30983000.0,19722000.0,18384000.0
Hedging Assets Current,1836000.0,1146000.0,2690000.0,2018000.0
Restricted Cash,8262000.0,8262000.0,12256000.0,3175000.0
Prepaid Assets,66424000.0,66874000.0,57795000.0,51576000.0
Inventory,1069600000.0,949789000.0,931646000.0,783296000.0
Other Inventories,882787000.0,756173000.0,751407000.0,621376000.0
Raw Materials,186813000.0,193616000.0,180239000.0,161920000.0
Receivables,808923000.0,719719000.0,324514000.0,354991000.0
Other Receivables,55403000.0,88384000.0,25894000.0,30654000.0
Accounts Receivable,753520000.0,631335000.0,298620000.0,324337000.0
Allowance For Doubtful Accounts Receivable,-4206000.0,-1285000.0,-1008000.0,-1042000.0
Gross Accounts Receivable,757726000.0,632620000.0,299628000.0,325379000.0
Cash Cash Equivalents And Short Term Investments,1822474000.0,1883957000.0,2271241000.0,2577981000.0
Other Short Term Investments,329516000.0,1054044000.0,1364607000.0,1096712000.0
Cash And Cash Equivalents,1492958000.0,829913000.0,906634000.0,1481269000.0
Cash Equivalents,458274000.0,3278000.0,7097000.0,4324000.0
Cash Financial,1034684000.0,826635000.0,899537000.0,1476945000.0
